ID	Dataset	Reference			River/ReachName	Region	Slope	D50	Depth	width	drainage area	Lat	Long	PlateBDist	Subsurface grain size	Armor ratio	Large Wood (pieces/m2)	Percent Sedimentary
								m	m	m	km^2	D.dd	D.dd	m	m		pieces/m2	
1	Abbe and Montgomery	1	32	31	"Tshletshy Creek,"	" Olympic Mountains, WA, USA"	0.0112	0.063	0.91	30	74.4	47.6555	-123.8973	110000				1
2	Abbe and Montgomery	1	32	31	"Queets River 1, "	" Olympic Mountains, WA, USA"	0.005	0.022	1.42	83	224.72	47.647618	-123.9343	110000				1
3	Abbe and Montgomery	1	32	31	"Queets River 2,"	" Olympic Mountains, WA, USA"	0.0059	0.047	1.29	66	178.97	47.6894	-123.849	120000				1
4	Abbe and Montgomery	1	32	31	"Queets River 3,"	" Olympic Mountains, WA, USA"	0.0095	0.068	1.2	50	154.63	47.706	-123.76	120000				1
5	Lisle- Redwood Ck	20** and Madej 2009			"Redwood Creek (Degraded), CA"	", USA"	0.0026	0.022	2.2	60	523	41.1979	-123.994	70000	0.0179	1.229050279		1
6	Lisle- Redwood Ck	20** and Madej 2009			"Redwood Creek (Aggraded), CA"	", USA"	0.0014	0.015	1.9	110	605	41.2687	-124.0245	70000	0.0094	1.595744681		1
7	Wood-Smith and Buffington AK	37	26	25	12-mile	", Southeast Alaska, USA"	0.0028	0.0219	1.1	22.47	29.63	55.34237	-132.72616	130000			0.0108	0.646918471
8	Wood-Smith and Buffington AK	37	26	25	Bambi	", Southeast Alaska, USA"	0.0102	0.0163	0.32	4.6	1.12	57.73218	-135.031228	110000		2.311573444	0.0136	NaN
9	Wood-Smith and Buffington AK	37	26	25	Cable	", Southeast Alaska, USA"	0.0017	0.0206	0.96	16.89	22.58	55.362206	-132.854209	120000			0.0234	NaN
10	Wood-Smith and Buffington AK	37	26	25	Fubar-1	", Southeast Alaska, USA"	0.0106	0.0429	0.66	17.84	9.76	55.4208	-132.8712	120000			0.029	NaN
11	Wood-Smith and Buffington AK	37	26	25	Fubar-2	", Southeast Alaska, USA"	0.0127	0.0576	0.85	16.32	8.98	55.4209	-132.8713	120000			0.007	NaN
12	Wood-Smith and Buffington AK	37	26	25	Maybeso 1	", Southeast Alaska, USA"	0.0095	0.0496	1.24	22.31	39.51	55.495749	-132.689849	130000			0	0
13	Wood-Smith and Buffington AK	37	26	25	Maybeso 2	", Southeast Alaska, USA"	0.0065	0.0362	1.1	29.12	39.35	55.4958	-132.6899	130000			0.0112	NaN
14	Wood-Smith and Buffington AK	37	26	25	Maybeso 3	", Southeast Alaska, USA"	0.0024	0.0364	1.11	27.07	36.81	55.49581	-132.68991	130000				NaN
15	Wood-Smith and Buffington AK	37	26	25	Maybeso 4	", Southeast Alaska, USA"	0.0036	0.0464	1.12	24.48	35.91	55.49582	-132.68992	130000				NaN
16	Wood-Smith and Buffington AK	37	26	25	Muri	", Southeast Alaska, USA"	0.015	0.0443	0.64	14.29	8.32	57.730211	-135.082644	110000			0.0123	NaN
17	Wood-Smith and Buffington AK	37	26	25	E Fk. Trap 	", Southeast Alaska, USA"	0.0133	0.0199	0.87	15.72	5.77	57.7335	-135.01233	110000				NaN
18	Wood-Smith and Buffington AK	37	26	25	Fish (2)	", Southeast Alaska, USA"	0.0224	0.0458	0.6	12.88	18.53	58.33197	-134.56603	170000			0.0311	NaN
19	Wood-Smith and Buffington AK	37	26	25	Fowler 1	", Southeast Alaska, USA"	0.0063	0.0141	0.74	18.03	20.93	58.16111	-134.6975	150000			0.0313	NaN
20	Wood-Smith and Buffington AK	37	26	25	Fowler 2	", Southeast Alaska, USA"	0.0054	0.019	0.83	11.46	15.6	58.162	-134.698	150000			0.0358	NaN
21	Wood-Smith and Buffington AK	37	26	25	Hook	", Southeast Alaska, USA"	0.011	0.0274	0.88	21.37	21.37	57.587668	-135.2035	100000			0.0405	NaN
22	Wood-Smith and Buffington AK	37	26	25	Trap 1	", Southeast Alaska, USA"	0.0055	0.017	0.95	12.92	10.2	57.736001	-135.01687	110000			0.0644	NaN
23	Wood-Smith and Buffington AK	37	26	25	Trap 2	", Southeast Alaska, USA"	0.0074	0.0154	0.77	15.59	10.06	57.734	-135.0161	110000		1.2	0.0635	NaN
24	Wood-Smith and Buffington AK	37	26	25	Trap 3	", Southeast Alaska, USA"	0.0072	0.0139	0.66	11.84	9.92	57.7341	-135.0162	110000			0.0639	NaN
25	Wood-Smith and Buffington AK	37	26	25	Trap 4	", Southeast Alaska, USA"	0.0071	0.0135	0.76	9.67	8.91	57.7342	-135.0163	110000		1.3	0.0698	NaN
26	Wood-Smith and Buffington AK	37	26	25	Trap 5	", Southeast Alaska, USA"	0.0102	0.0176	0.75	14.11	8.72	57.7343	-135.0164	110000			0.0591	NaN
27	Wood-Smith and Buffington AK	37	26	25	Trap 6	", Southeast Alaska, USA"	0.012	0.0134	0.78	15.76	8.27	57.7344	-135.0165	110000		2.5	0.0566	NaN
29	Buffington and Montgomery	6	6	6	E Fk. Trap 2	", Southeast Alaska, USA"	0.0127	0.0245	0.66	10.65		57.734	-135.0124	110000			0.0531	NaN
30	Buffington and Montgomery	6	6	6	12-mile (1)	", Southeast Alaska, USA"	0.0021	0.0243	1.05	23.34		55.343	-132.727	130000			0.106	NaN
31	Buffington and Montgomery	6	6	6	Greens	", Southeast Alaska, USA"	0.022	0.0349	0.85	12.9		58.09	-134.7417	150000			0.0303	1
32	Buffington and Montgomery	6	6	6	Fish (1)	", Southeast Alaska, USA"	0.0267	0.0306	1.33	19.18		58.332	-134.567	170000			0.0601	NaN
33	Buffington and Montgomery	6	6	6	Indian	", Southeast Alaska, USA"	0.0122	0.0794	1.32	24.6		55.45	-132.696	130000			0.0025	0
34	"Buffington and Montgomery (1999), Olympic Peninsula, WA"	6	6	6	Dry 2	", Olympic Mountains, WA, USA"	0.0126	0.0671	0.69	6.84		47.884	-124.3862	80000	0.0302		0	1
35	"Buffington and Montgomery (1999), Olympic Peninsula, WA"	6	6	6	Alder	", Olympic Mountains, WA, USA"	0.0265	0.0528	0.64	8.68		47.82395	-124.2275	90000	0.0602		0.0015	1
36	"Buffington and Montgomery (1999), Olympic Peninsula, WA"	6	6	6	Hoko 2	", Olympic Mountains, WA, USA"	0.016	0.0548	0.37	5.12		48.27133	-124.361827	101980	0.0382		0.0033	0.993330002
37	"Buffington and Montgomery (1999), Olympic Peninsula, WA"	6	6	6	Hoh 1	", Olympic Mountains, WA, USA"	0.0059	0.0193	0.62	11.53		47.809982	-124.07351	100000	0.0281		0.0006	1
38	"Buffington and Montgomery (1999), Olympic Peninsula, WA"	6	6	6	Hoh 2	", Olympic Mountains, WA, USA"	0.0114	0.0568	0.55	10.08		47.801	-124.074	100000	0.014		0.0052	1
39	"Buffington and Montgomery (1999), Olympic Peninsula, WA"	6	6	6	Skunk 2	", Olympic Mountains, WA, USA"	0.0126	0.0392	0.89	6.79		48.086	-124.274	100000	0.0235		0.0243	0.67804882
40	"Buffington and Montgomery (1999), Olympic Peninsula, WA"	6	6	6	Hoko 1	", Olympic Mountains, WA, USA"	0.0085	0.035	0.89	12.81		48.272	-124.362	101980	0.0217		0.0157	NaN
41	"Buffington and Montgomery (1999), Olympic Peninsula, WA"	6	6	6	Pins 1	", Olympic Mountains, WA, USA"	0.009	0.0314	0.92	6.75		47.755062	-124.262951	90000	0.0303		0.0278	1
42	"Buffington and Montgomery (1999), Olympic Peninsula, WA"	6	6	6	Pins 2	", Olympic Mountains, WA, USA"	0.0133	0.036	0.66	6.9		47.756	-124.263	90000	0.0155		0.058	NaN
44	"Buffington and Montgomery (1999), Olympic Peninsula, WA"	6	6	6	Mill	", Olympic Mountains, WA, USA"	0.0143	0.0194	1.04	8.41		47.937	-124.4011	80000	0.0101		0.0455	1
45	"Buffington and Montgomery (1999), Olympic Peninsula, WA"	6	6	6	Dry 1	", Olympic Mountains, WA, USA"	0.0222	0.0534	0.73	7.96		47.885	-124.387	80000	0.0411		0.145	NaN
46	"Buffington and Montgomery (1999), Olympic Peninsula, WA"	6	6	6	Skunk 1	", Olympic Mountains, WA, USA"	0.004	0.0198	0.85	13.39		48.085976	-124.2734	100000	0.0094		0.0352	NaN
47	"Buffington and Montgomery, Oly Peninsula"	6	6	6	Cedar	", Olympic Mountains, WA, USA"	0.0046	0.0272	0.85	10.95		47.7152	-124.344007	80000	0.0206		0.0438	1
48	"Pfeiffer and Finnegan, Santa Cruz Mountains"	29	56	55	Scott Creek 3	", Santa Cruz Mountains, CA, USA"	0.0039	0.022	2.233333333	32.1	71.9	37.056426	-122.227012	10000				0.340717422
49	"Pfeiffer and Finnegan, Santa Cruz Mountains"	29	56	55	Scott Creek 4	", Santa Cruz Mountains, CA, USA"	0.0047	0.053	2.14	24.7	70.7	37.060796	-122.22781	10000				NaN
50	"Pfeiffer and Finnegan, Santa Cruz Mountains"	29	56	55	Scott Creek 5	", Santa Cruz Mountains, CA, USA"	0.0051	0.052	2.073333333	18.3	54.4	37.064893	-122.230092	10000				NaN
51	"Pfeiffer and Finnegan, Santa Cruz Mountains"	29	56	55	Scott Creek 6	", Santa Cruz Mountains, CA, USA"	0.0039	0.028	2.03	13.8	35.6	37.068625	-122.231005	10000				NaN
52	"Pfeiffer and Finnegan, Santa Cruz Mountains"	29	56	55	Scott Creek 7	", Santa Cruz Mountains, CA, USA"	0.0049	0.03	1.757142857	16	35	37.07172	-122.234541	10000				NaN
