Width (m),Discharge (m3/s),,
12.10,21.20,,
5.30,1.80,,
12.60,9.70,,
13.60,4.70,,
12.70,10.60,,
26.20,33.40,,
4.10,1.10,,
11.50,7.50,,
8.00,4.40,,
9.50,4.70,,
12.12,46.40,,
13.70,7.70,,
12.80,15.00,,
12.11,57.80,,
17.30,7.60,,
5.90,1.70,,
8.40,2.10,,
16.50,15.40,,
21.90,30.60,,
12.13,38.20,,
4.20,1.30,,
17.80,12.90,,
11.60,11.90,,
12.90,15.30,,
105.00,141.58,,
26.00,37.50,,
36.60,101.00,,
6.98,2.69,,
24.90,42.00,,
10.00,6.70,,
5.00,1.90,,
47.00,85.20,,
,8.36,,
8.00,4.50,,
12.00,9.80,,
34.00,49.00,,
6.00,2.50,,
12.00,12.20,,
7.00,2.70,,
37.00,114.00,,
31.00,72.20,,
2.00,0.70,,
6.00,3.20,,
9.00,8.40,,
7.00,2.20,,
12.00,7.10,,
24.00,46.70,,
18.00,22.60,,
36.60,114.00,,
53.30,167.00,,
83.80,255.00,,
4.85,2.00,,
7.80,7.10,,
25.67,27.94,,
22.30,15.29,,
13.70,22.65,,
15.00,10.00,,
121.00,2096.00,,
178.00,1700.00,,
170.00,1042.00,,
212.00,3820.00,,
18.00,34.26,,
30.05,27.01,,
24.08,34.55,,
16.80,59.75,,
22.33,14.36,,
25.76,45.31,,
15.77,9.00,,
41.00,86.90,,
10.84,6.40,,
18.20,10.59,,
16.93,5.15,,
40.37,28.60,,
14.10,13.88,,
9.91,5.47,,
9.66,4.62,,
17.00,48.42,,
22.46,21.01,,
10.00,7.76,,
12.39,8.35,,
37.84,98.26,,
12.14,92.60,,
127.41,566.34,,
85.34,239.08,,
86.87,177.18,,
182.88,1122.48,,
50.29,79.46,,
70.10,227.58,,
76.20,204.28,,
109.73,805.33,,
103.63,280.99,,
44.50,48.70,,
13.20,12.00,,
28.10,37.90,,
8.90,4.30,,
17.50,17.00,,
34.10,79.90,,
22.70,49.80,,
21.70,19.40,,
33.20,74.40,,
40.50,97.70,,
54.60,117.40,,
32.30,54.90,,
48.50,79.60,,
19.10,25.20,,
35.40,70.50,,
49.10,91.30,,
30.50,59.30,,
5.50,5.70,,
16.90,27.80,,
22.10,58.90,,
61.60,133.90,,
47.90,89.10,,
19.40,25.10,,
20.90,38.50,,
12.60,8.50,,
8.30,2.00,,
25.10,22.20,,
34.40,67.70,,
10.90,7.10,,
61.60,123.00,,
15.00,21.00,,
11.10,8.60,,
61.00,116.90,,
17.80,11.20,,
13.50,3.30,,
21.10,20.20,,
29.60,50.70,,
19.30,27.80,,
8.60,5.40,,
22.30,30.00,,
25.80,22.10,,
29.60,19.50,,
32.30,49.60,,
19.42,17.10,,
16.64,11.10,,
21.95,19.54,,
20.12,16.06,,
20.06,13.20,,
23.68,25.43,,
33.83,31.54,,
38.71,68.16,,
19.00,66.00,,
31.00,67.00,,
