Width (m),Discharge (m3/s),D50 (m),Depth (m),
12.10,21.20,0.0831,1.00,
5.30,1.80,0.0385,0.40,
12.60,9.70,0.0477,0.70,
13.60,4.70,0.045,0.50,
12.70,10.60,0.0595,0.90,
26.20,33.40,0.0062,1.20,
4.10,1.10,0.0152,0.40,
11.50,7.50,0.0534,0.90,
8.00,4.40,0.0607,0.50,
9.50,4.70,0.0564,0.70,
12.12,46.40,0.0848,1.00,
13.70,7.70,0.0828,0.80,
12.80,15.00,0.0396,1.00,
12.11,57.80,0.0787,1.50,
17.30,7.60,0.0623,0.90,
5.90,1.70,0.0301,0.50,
8.40,2.10,0.0308,0.60,
16.50,15.40,0.194,0.70,
21.90,30.60,0.1307,1.00,
12.13,38.20,0.1317,1.20,
4.20,1.30,0.0046,0.40,
17.80,12.90,0.1443,0.80,
11.60,11.90,0.1041,0.80,
12.90,15.30,0.0455,0.90,
26.00,37.50,0.091,1.30,
36.60,101.00,0.064,0.91,
6.98,2.69,0.034,1.45,
24.90,42.00,0.079,0.29,
10.00,6.70,0.023,0.88,
5.00,1.90,0.024,0.48,
47.00,85.20,0.024,0.31,
8.00,4.50,0.091,0.97,
12.00,9.80,0.085,0.43,
34.00,49.00,0.098,0.49,
6.00,2.50,0.037,0.46,
12.00,12.20,0.061,0.84,
7.00,2.70,0.034,0.41,
37.00,114.00,0.07,0.73,
31.00,72.20,0.122,0.29,
2.00,0.70,0.049,1.65,
6.00,3.20,0.061,1.13,
9.00,8.40,0.073,0.20,
7.00,2.20,0.052,0.39,
12.00,7.10,0.046,0.43,
24.00,46.70,0.045,0.34,
18.00,22.60,0.043,0.52,
36.60,114.00,0.07,1.62,
53.30,167.00,0.058,0.73,
83.80,255.00,0.034,1.65,
4.85,2.00,0.058,1.63,
7.80,7.10,0.025,1.85,
25.67,27.94,0.000062,0.41,
22.30,15.29,0.00025,0.58,
13.70,22.65,0.00025,2.38,
15.00,10.00,0.000510,0.57,
121.00,2096.00,0.056,1.57,
178.00,1700.00,0.05,1.50,
170.00,1042.00,0.042,4.87,
212.00,3820.00,0.073,3.33,
18.00,34.26,0.06588,2.25,
30.05,27.01,0.01813,4.77,
24.08,34.55,0.05956,1.05,
16.80,59.75,0.09281,1.21,
22.33,14.36,0.17945,0.94,
25.76,45.31,0.01695,1.20,
15.77,9.00,0.01244,0.70,
41.00,86.90,0.06695,1.09,
10.84,6.40,0.05001,0.65,
18.20,10.59,0.048,1.40,
16.93,5.15,0.01832,0.40,
40.37,28.60,0.07615,0.54,
14.10,13.88,0.11912,0.62,
9.91,5.47,0.10169,0.82,
9.66,4.62,0.03807,0.75,
17.00,48.42,0.03021,0.59,
22.46,21.01,0.11855,0.50,
10.00,7.76,0.07083,1.23,
12.39,8.35,0.02964,1.00,
37.84,98.26,0.128,0.51,
12.14,92.60,0.0872,0.72,
127.41,566.34,0.0006,0.96,
109.73,805.33,0.0407,2.20,
103.63,280.99,0.0506,6.10,
44.50,48.70,0.0988,5.06,
13.20,12.00,0.071,1.34,
28.10,37.90,0.0819,4.97,
8.90,4.30,0.041,1.43,
17.50,17.00,0.0145,2.19,
34.10,79.90,0.0446,1.68,
22.70,49.80,0.0506,3.99,
21.70,19.40,0.0682,2.74,
33.20,74.40,0.0332,0.83,
40.50,97.70,0.0495,0.77,
54.60,117.40,0.107,1.00,
32.30,54.90,0.0382,0.26,
48.50,79.60,0.119,0.93,
19.10,25.20,0.0861,1.46,
35.40,70.50,0.18,1.22,
49.10,91.30,0.0672,0.76,
30.50,59.30,0.0675,1.33,
5.50,5.70,0.0207,1.56,
16.90,27.80,0.119,1.26,
22.10,58.90,0.0523,0.82,
61.60,133.90,0.133,1.05,
47.90,89.10,0.0331,0.86,
19.40,25.10,0.0778,1.45,
20.90,38.50,0.115,1.15,
12.60,8.50,0.0393,1.55,
8.30,2.00,0.0817,0.55,
25.10,22.20,0.0964,0.79,
34.40,67.70,0.0269,1.72,
10.90,7.10,0.0735,1.17,
61.60,123.00,0.0516,1.30,
15.00,21.00,0.121,0.78,
11.10,8.60,0.0614,0.98,
61.00,116.90,0.0581,0.53,
17.80,11.20,0.116,0.38,
13.50,3.30,0.101,0.84,
21.10,20.20,0.0584,1.55,
29.60,50.70,0.067,0.70,
19.30,27.80,0.0158,1.12,
8.60,5.40,0.0434,0.71,
22.30,30.00,0.11,0.57,
25.80,22.10,0.119,1.87,
29.60,19.50,0.00041,0.32,
32.30,49.60,0.0453,0.41,
19.42,17.10,0.0244,0.84,
16.64,11.10,0.0562,0.90,
21.95,19.54,0.0101,1.53,
20.12,16.06,0.0699,0.52,
20.06,13.20,0.0506,0.76,
23.68,25.43,0.0182,0.79,
33.83,31.54,0.0242,1.20,
38.71,68.16,0.023,0.95,
19.00,66.00,0.082,1.10,
31.00,67.00,0.043,0.64,
26.00,66.00,0.039,0.93,
17.36,64.00,0.075,0.69,
14.04,10.00,0.106,0.71,
9.84,10.70,0.113,1.38,
13.73,29.50,0.041,0.90,
17.63,66.00,0.071,1.57,
34.37,140.00,0.063,1.36,
18.41,58.00,0.074,1.77,
25.12,25.00,0.063,1.16,
26.34,66.00,0.039,1.78,
28.67,81.00,0.055,0.73,
